Frage,Anzahl Trainingsfragen,Richtige Antwort,QAnswer-Antwort,Confidence,Precision,Recall,F-Score,Richtige Anzahl,QAnswer Anzahl,Schnittmenge
What are hospital information systems?,0,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT ?s0  WHERE { 		VALUES ?s0 { <http://www.snik.eu/ontology/bb/chapter4-2> }  },0.95,0,0.0,0,1,1, 0
What are hospital information systems?,110,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.27,0,0.0,0,1,3, 0
What are hospital information systems?,120,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.35,0,0.0,0,1,3, 0
What are hospital information systems?,130,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.31,0,0.0,0,1,3, 0
What are hospital information systems?,140,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.34,0,0.0,0,1,3, 0
What are hospital information systems?,150,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.32,0,0.0,0,1,3, 0
What are hospital information systems?,160,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.33,0,0.0,0,1,3, 0
What are hospital information systems?,170,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.36,0,0.0,0,1,3, 0
What are hospital information systems?,180,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.32,0,0.0,0,1,3, 0
What are hospital information systems?,190,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.34,0,0.0,0,1,3, 0
What are hospital information systems?,200,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.42,0,0.0,0,1,3, 0
What are hospital information systems?,210,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.33,0,0.0,0,1,3, 0
What are hospital information systems?,220,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.29,0,0.0,0,1,3, 0
What are hospital information systems?,230,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.43,0,0.0,0,1,3, 0
What are hospital information systems?,240,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.3,0,0.0,0,1,3, 0
What are hospital information systems?,250,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.36,0,0.0,0,1,3, 0
What are hospital information systems?,260,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.43,0,0.0,0,1,3, 0
What are hospital information systems?,270,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.41,0,0.0,0,1,3, 0
What are hospital information systems?,280,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.4,0,0.0,0,1,3, 0
What are hospital information systems?,290,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.28,0,0.0,0,1,3, 0
What are hospital information systems?,300,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.42,0,0.0,0,1,3, 0
What are hospital information systems?,310,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.43,0,0.0,0,1,3, 0
What are hospital information systems?,320,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.46,0,0.0,0,1,3, 0
What are hospital information systems?,330,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.37,0,0.0,0,1,3, 0
What are hospital information systems?,340,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.32,0,0.0,0,1,3, 0
What are hospital information systems?,350,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.46,0,0.0,0,1,3, 0
What are hospital information systems?,360,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.43,0,0.0,0,1,3, 0
What are hospital information systems?,370,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.51,0,0.0,0,1,3, 0
What are hospital information systems?,380,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.46,0,0.0,0,1,3, 0
What are hospital information systems?,390,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.44,0,0.0,0,1,3, 0
What are hospital information systems?,400,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.24,0,0.0,0,1,3, 0
What are hospital information systems?,410,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.43,0,0.0,0,1,3, 0
What are hospital information systems?,420,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.45,0,0.0,0,1,3, 0
What are hospital information systems?,430,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.43,0,0.0,0,1,3, 0
What are hospital information systems?,440,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.4,0,0.0,0,1,3, 0
What are hospital information systems?,450,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.5,0,0.0,0,1,3, 0
What are hospital information systems?,460,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.42,0,0.0,0,1,3, 0
What are hospital information systems?,470,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.4,0,0.0,0,1,3, 0
What are hospital information systems?,480,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.41,0,0.0,0,1,3, 0
What are hospital information systems?,490,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.53,0,0.0,0,1,3, 0
What are hospital information systems?,500,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.44,0,0.0,0,1,3, 0
What are hospital information systems?,510,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.41,0,0.0,0,1,3, 0
What are hospital information systems?,520,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 ?o2 WHERE { 	 ?s1  ?p1  <http://www.snik.eu/ontology/bb/chapter4-2> . 	 ?s1  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?o2 .  }  LIMIT 1000,0.03,0,0.0,0,1,38, 0
What are hospital information systems?,530,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.3,0,0.0,0,1,3, 0
What are hospital information systems?,540,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.46,0,0.0,0,1,3, 0
What are hospital information systems?,550,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/InformationSystem>  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?o1 .  }  LIMIT 1000,0.09,0,0.0,0,1,1, 0
What are hospital information systems?,560,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  <http://www.snik.eu/ontology/bb/InformationSystem> .  }  LIMIT 1000,0.15,0.25,1.0,0.4,1,4, 1
What are hospital information systems?,570,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.34,0,0.0,0,1,3, 0
What are hospital information systems?,580,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.36,0,0.0,0,1,3, 0
What are hospital information systems?,590,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.43,0,0.0,0,1,3, 0
What are hospital information systems?,600,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?o1 .  }  LIMIT 1000,0.29,0,0.0,0,1,2, 0
What are hospital information systems?,610,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.39,0,0.0,0,1,3, 0
What are hospital information systems?,620,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.47,0,0.0,0,1,3, 0
What are hospital information systems?,630,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  ?p1  <http://www.snik.eu/ontology/bb/chapter4-2> .  }  LIMIT 1000,0.23,0,0.0,0,1,38, 0
What are hospital information systems?,640,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.44,0,0.0,0,1,3, 0
What are hospital information systems?,650,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.44,0,0.0,0,1,3, 0
What are hospital information systems?,660,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?o1 .  }  LIMIT 1000,0.32,0,0.0,0,1,2, 0
What are hospital information systems?,670,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.41,0,0.0,0,1,3, 0
What are hospital information systems?,680,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.38,0,0.0,0,1,3, 0
What are hospital information systems?,690,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.38,0,0.0,0,1,3, 0
What are hospital information systems?,700,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.25,0,0.0,0,1,3, 0
What are hospital information systems?,710,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.31,0,0.0,0,1,3, 0
What are hospital information systems?,720,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.41,0,0.0,0,1,3, 0
What are hospital information systems?,730,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.39,0,0.0,0,1,3, 0
What are hospital information systems?,740,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.37,0,0.0,0,1,3, 0
What are hospital information systems?,750,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ?o1 .  }  LIMIT 1000,0.3,0,0.0,0,1,2, 0
What are hospital information systems?,760,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  ?p1  <http://www.snik.eu/ontology/bb/HospitalInformationSystem> .  }  LIMIT 1000,0.23,0,0.0,0,1,6, 0
